ts,case_id,actor,action,reasoning
2026-08-30T12:54:01.412Z,case_1_0,vasooli,honor_opt_out,"Customer previously opted out / opted out on contact — no further action."
2026-08-30T12:54:01.420Z,case_1_1,vasooli,recovered,"Diagnosed=unknown (true=network_drop); voice_call; p=0.20; link paid."
2026-08-30T12:54:01.420Z,case_1_2,vasooli,no_recovery,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; exhausted→exception."
2026-08-30T12:54:01.420Z,case_1_3,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_1_4,vasooli,recovered,"Diagnosed=unknown (true=unknown); voice_call; p=0.38; link paid."
2026-08-30T12:54:01.420Z,case_1_5,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_1_6,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_2_0,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_2_1,vasooli,no_recovery,"Diagnosed=network_drop (true=network_drop); whatsapp_nudge; p=0.65; exhausted→exception."
2026-08-30T12:54:01.420Z,case_2_2,vasooli,no_recovery,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; exhausted→exception."
2026-08-30T12:54:01.420Z,case_2_3,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_2_4,vasooli,no_recovery,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; exhausted→exception."
2026-08-30T12:54:01.420Z,case_2_5,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_2_6,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_3_0,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_3_1,vasooli,no_recovery,"Diagnosed=insufficient_funds (true=insufficient_funds); voice_call; p=0.60; promise kept."
2026-08-30T12:54:01.420Z,case_3_2,vasooli,no_recovery,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; exhausted→exception."
2026-08-30T12:54:01.420Z,case_3_3,vasooli,no_recovery,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; exhausted→exception."
2026-08-30T12:54:01.420Z,case_3_4,vasooli,no_recovery,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; exhausted→exception."
2026-08-30T12:54:01.420Z,case_3_5,vasooli,recovered,"Diagnosed=network_drop (true=network_drop); whatsapp_nudge; p=0.55; link paid."
